configuration_id,experiment,blocks,classifier,C,k,repeat,fold,risk_weighted_f1,risk_macro_f1,accuracy
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,1,4,0.5936738275509964,0.5060054954332535,0.5993589743589743
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,2,0,0.5975358128299568,0.4925482902252655,0.5807365439093485
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,2,1,0.6055823830193381,0.5152872636809607,0.6049382716049383
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,2,2,0.6057034457458457,0.45314664327269366,0.5866261398176292
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,2,3,0.6017420192732889,0.5597290482032451,0.6044303797468354
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,2,4,0.6124547843591547,0.5486972410495324,0.610223642172524
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,0,0,0.5165427706543989,0.4160899694185434,0.5062893081761006
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,0,1,0.5289617073689483,0.4501329834688684,0.5317073170731708
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,0,2,0.608653634163905,0.5310624773055477,0.6042944785276073
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,0,3,0.5083619908972006,0.4575374246477725,0.5132450331125827
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,0,4,0.5361323905296741,0.46309861191440144,0.5376344086021505
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,1,0,0.5770532655837287,0.5053179641385455,0.5751445086705202
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,1,1,0.48832226134344386,0.394719713884454,0.4897959183673469
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,1,2,0.540786031512781,0.4751149082173188,0.5426829268292683
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,1,3,0.5301278834938644,0.44099274457475374,0.523943661971831
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,1,4,0.5620444860741763,0.4896312597253391,0.5737179487179487
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,2,0,0.5345053946611507,0.4701450759867275,0.5354107648725213
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,2,1,0.5642484350907291,0.46641714915908467,0.5709876543209876
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,2,2,0.5806806375897531,0.4561336729813877,0.5623100303951368
